date,affine-steerers,aliked-lightglue,aliked-lightglue-subpx,aspanformer,d2net,dedode,dedode-kornia,dedode-lightglue,dedode-subpx,disk-lightglue,doghardnet-lightglue,doghardnet-nn,duster,edm,eloftr,gim-dkm,gim-lightglue,liftfeat,lisrd,lisrd-aliked,lisrd-sift,lisrd-superpoint,loftr,master,matchanything-eloftr,matchanything-roma,matchformer,minima,minima-loftr,minima-roma,minima-roma-tiny,minima-superpoint-lightglue,minima-xoftr,omniglue,orb-nn,patch2pix,r2d2,rdd,rdd-aliked,rdd-lightglue,rdd-star,ripe,roma,romav2,se2loftr,sift-lightglue,sift-nn,sift-sphereglue,silk,steerers,superglue,superpoint-lightglue,superpoint-lightglue-subpx,superpoint-sphereglue,tiny-roma,topicfm,topicfm-plus,ufm,xfeat,xfeat-lightglue,xfeat-lightglue-subpx,xfeat-star,xfeat-star-steerers-learned,xfeat-star-steerers-perm,xfeat-steerers-learned,xfeat-steerers-perm,xfeat-subpx,xoftr,zippypoint
2026-02-09,215,27,21,25,26,74,22,24,22,32,24,25,23,26,32,22,16,16,46,22,21,24,30,26,28,27,26,17,27,26,27,23,24,25,25,13,20,17,23,23,25,22,32,26,28,35,26,16,22,16,27,43,23,14,29,24,19,25,18,27,24,24,3,4,3,4,25,52,0
2026-02-09,215,27,21,25,26,74,22,24,22,32,24,25,23,26,32,22,16,16,46,22,21,24,30,26,28,27,26,17,27,26,27,23,24,25,25,13,20,17,23,23,25,22,32,26,28,35,26,16,22,16,27,43,23,14,29,24,19,25,18,27,24,24,3,4,3,4,25,52,0
2026-02-10,215,27,21,25,26,74,22,24,22,32,24,25,23,26,32,22,16,16,46,22,21,24,30,26,28,27,26,17,27,26,27,23,24,25,25,13,20,17,23,23,25,22,32,26,28,35,26,16,22,16,27,43,23,14,29,24,19,25,18,27,24,24,3,4,3,4,25,52,0
2026-02-11,223,29,21,26,27,80,23,24,22,34,25,25,25,26,33,22,16,17,46,22,21,24,33,27,29,28,27,19,27,27,28,23,24,25,26,14,20,17,23,23,25,22,33,28,29,35,27,16,22,16,29,46,23,15,31,24,19,26,19,28,24,25,5,4,4,4,25,56,0
2026-02-12,223,29,21,26,27,80,23,24,22,34,25,25,25,26,33,22,16,17,46,22,21,24,33,27,29,28,27,19,27,27,28,23,24,25,26,14,20,17,23,23,25,22,33,28,29,35,27,16,22,16,29,46,23,15,31,24,19,26,19,28,24,25,5,4,4,4,25,56,0
2026-02-13,223,29,21,27,27,80,23,24,22,34,25,25,25,26,33,22,16,17,46,22,21,24,33,27,29,28,27,19,27,27,28,23,24,25,26,14,20,17,23,23,25,22,33,28,29,35,27,16,22,16,30,46,23,15,31,24,19,26,19,28,24,25,5,4,4,4,25,56,0
2026-02-14,223,29,21,28,27,80,23,24,22,34,25,25,25,26,33,22,16,17,46,22,21,24,33,27,29,28,27,19,27,27,28,23,24,25,26,14,20,17,23,23,25,22,33,28,29,35,27,16,22,16,31,46,23,15,31,24,19,26,19,28,24,25,5,4,4,4,25,56,0
2026-02-15,230,36,27,29,32,89,32,29,27,41,31,30,33,32,42,29,24,25,53,28,27,30,45,36,36,34,37,34,32,40,34,30,30,29,33,19,26,24,29,29,31,30,50,40,37,48,38,19,29,26,33,66,28,19,38,30,24,35,30,35,30,32,10,8,10,9,31,64,5
2026-02-16,231,37,27,30,33,89,33,30,27,42,32,30,34,32,43,29,24,28,53,28,27,30,48,37,38,35,38,34,32,40,34,30,30,31,34,19,27,24,29,29,31,30,53,41,39,49,39,19,29,27,34,69,28,19,39,30,24,35,32,35,30,32,10,8,10,9,31,70,5
2026-02-17,235,38,27,31,34,91,34,30,27,44,33,30,35,33,44,30,25,30,53,28,27,30,49,38,40,37,39,36,34,42,34,31,30,32,35,20,28,25,29,30,32,31,54,42,41,51,40,19,29,28,35,71,28,19,41,30,24,36,32,35,30,32,10,8,10,9,31,73,5
